"Age";"Sex";"Cabin";"Life Boat";"Passenger Class";"Port of Embarkation";"PassengerID";"No of Siblings or Spouses on Board";"No of Parents or Children on Board";"Passenger Fare";"Survived"
"range3 [1.763 - 2.562]";"F";"C22 C26";"0";"First";"Southampton";4;1;2;151.55;"No"
"range32 [24.915 - 25.713]";"F";"C22 C26";"0";"First";"Southampton";6;1;2;151.55;"No"
"range45 [35.293 - 36.092]";"F";"A29";"0";"First";"Cherbourg";107;0;0;31.6792;"No"
"range63 [49.663 - 50.462]";"F";"C49";"0";"First";"Cherbourg";171;0;0;28.7125;"No"
"range79 [62.437 - 63.235]";"F";"C55 C57";"0";"First";"Southampton";288;1;0;221.7792;"No"
"range55 [43.277 - 44.075]";"F";"unknown";"0";"Second";"Southampton";367;1;0;26.0;"No"
"range37 [28.907 - 29.705]";"F";"unknown";"0";"Second";"Southampton";371;1;0;26.0;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Second";"Southampton";383;0;0;13.0;"No"
"range48 [37.688 - 38.487]";"F";"unknown";"0";"Second";"Southampton";413;0;0;13.0;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Second";"Southampton";447;1;1;13.0;"No"
"range75 [59.243 - 60.042]";"F";"unknown";"0";"Second";"Southampton";458;1;0;26.0;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Second";"Southampton";470;0;0;21.0;"No"
"range33 [25.713 - 26.512]";"F";"unknown";"0";"Second";"Southampton";477;1;1;26.0;"No"
"range72 [56.848 - 57.647]";"F";"E77";"0";"Second";"Southampton";492;0;0;10.5;"No"
"range34 [26.512 - 27.310]";"F";"unknown";"0";"Second";"Southampton";578;1;0;21.0;"No"
"range30 [23.318 - 24.117]";"F";"unknown";"0";"Second";"Southampton";602;0;0;13.0;"No"
"range50 [39.285 - 40.083]";"F";"unknown";"0";"Third";"Southampton";613;1;0;9.475;"No"
"range8 [5.755 - 6.553]";"F";"unknown";"0";"Third";"Southampton";626;4;2;31.275;"No"
"range3 [1.763 - 2.562]";"F";"unknown";"0";"Third";"Southampton";627;4;2;31.275;"No"
"range48 [37.688 - 38.487]";"F";"unknown";"0";"Third";"Southampton";629;4;2;7.775;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Southampton";630;4;2;31.275;"No"
"range14 [10.545 - 11.343]";"F";"unknown";"0";"Third";"Southampton";631;4;2;31.275;"No"
"range49 [38.487 - 39.285]";"F";"unknown";"0";"Third";"Southampton";635;1;5;31.275;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Southampton";639;1;0;17.8;"No"
"range22 [16.932 - 17.730]";"F";"unknown";"0";"Third";"Cherbourg";653;0;0;14.4583;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Cherbourg";668;0;1;14.4542;"No"
"range57 [44.873 - 45.672]";"F";"unknown";"0";"Third";"Cherbourg";669;0;1;14.4542;"No"
"range34 [26.512 - 27.310]";"F";"unknown";"0";"Third";"Queenstown";670;0;0;7.8792;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Cherbourg";682;1;1;15.2458;"No"
"range40 [31.302 - 32.100]";"F";"unknown";"0";"Third";"Queenstown";687;1;1;15.5;"No"
"range25 [19.327 - 20.125]";"F";"unknown";"0";"Third";"Southampton";690;0;0;7.8542;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Queenstown";695;0;0;7.2833;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Queenstown";698;0;0;7.8792;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Southampton";699;0;0;8.6625;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Southampton";700;0;0;8.6625;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Queenstown";705;0;0;7.75;"No"
"range47 [36.890 - 37.688]";"F";"unknown";"0";"Third";"Queenstown";713;0;0;7.75;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Queenstown";729;0;0;7.6292;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Third";"Southampton";746;0;0;10.5167;"No"
"range35 [27.310 - 28.108]";"F";"unknown";"0";"Third";"Southampton";752;1;1;14.4;"No"
"range30 [23.318 - 24.117]";"F";"unknown";"0";"Third";"Queenstown";782;0;0;7.75;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Southampton";809;2;2;34.375;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Southampton";810;2;2;34.375;"No"
"range60 [47.268 - 48.067]";"F";"unknown";"0";"Third";"Southampton";814;1;3;34.375;"No"
"range13 [9.747 - 10.545]";"F";"unknown";"0";"Third";"Southampton";831;5;2;46.9;"No"
"range20 [15.335 - 16.133]";"F";"unknown";"0";"Third";"Southampton";832;5;2;46.9;"No"
"range54 [42.478 - 43.277]";"F";"unknown";"0";"Third";"Southampton";835;1;6;46.9;"No"
"range30 [23.318 - 24.117]";"F";"unknown";"0";"Third";"Southampton";843;0;0;8.85;"No"
"range22 [16.932 - 17.730]";"F";"unknown";"0";"Third";"Queenstown";844;0;0;7.7333;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Queenstown";862;0;0;6.75;"No"
"range29 [22.520 - 23.318]";"F";"unknown";"0";"Third";"Southampton";864;0;0;7.925;"No"
"range35 [27.310 - 28.108]";"F";"unknown";"0";"Third";"Southampton";867;0;0;7.775;"No"
"range34 [26.512 - 27.310]";"F";"unknown";"0";"Third";"Southampton";880;1;0;7.925;"No"
"range32 [24.915 - 25.713]";"F";"unknown";"0";"Third";"Southampton";881;1;0;7.925;"No"
"range25 [19.327 - 20.125]";"F";"unknown";"0";"Third";"Southampton";910;1;0;9.825;"No"
"range27 [20.923 - 21.722]";"F";"unknown";"0";"Third";"Southampton";911;1;0;9.825;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Third";"Southampton";935;2;0;8.6625;"No"
"range2 [0.965 - 1.763]";"F";"unknown";"0";"Third";"Southampton";940;1;1;12.1833;"No"
"range45 [35.293 - 36.092]";"F";"unknown";"0";"Third";"Southampton";942;0;2;12.1833;"No"
"range47 [36.890 - 37.688]";"F";"unknown";"0";"Third";"Southampton";946;0;0;9.5875;"No"
"range32 [24.915 - 25.713]";"F";"unknown";"0";"Third";"Southampton";969;0;0;7.775;"No"
"range57 [44.873 - 45.672]";"F";"unknown";"0";"Third";"Southampton";970;0;0;7.75;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Southampton";972;1;0;15.55;"No"
"range33 [25.713 - 26.512]";"F";"unknown";"0";"Third";"Southampton";978;1;0;16.1;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Queenstown";995;0;0;7.75;"No"
"range44 [34.495 - 35.293]";"F";"unknown";"0";"Third";"Queenstown";1011;0;0;7.75;"No"
"range24 [18.528 - 19.327]";"F";"unknown";"0";"Third";"Southampton";1014;1;0;16.1;"No"
"range37 [28.907 - 29.705]";"F";"unknown";"0";"Third";"Southampton";1061;0;0;7.925;"No"
"range39 [30.503 - 31.302]";"F";"unknown";"0";"Third";"Southampton";1089;0;0;7.8542;"No"
"range29 [22.520 - 23.318]";"F";"unknown";"0";"Third";"Southampton";1093;0;0;8.6625;"No"
"range25 [19.327 - 20.125]";"F";"unknown";"0";"Third";"Southampton";1094;0;0;8.6625;"No"
"range4 [2.562 - 3.360]";"F";"unknown";"0";"Third";"Southampton";1101;3;1;21.075;"No"
"range10 [7.352 - 8.150]";"F";"unknown";"0";"Third";"Southampton";1102;3;1;21.075;"No"
"range37 [28.907 - 29.705]";"F";"unknown";"0";"Third";"Southampton";1103;0;4;21.075;"No"
"range52 [40.882 - 41.680]";"F";"unknown";"0";"Third";"Southampton";1109;0;5;39.6875;"No"
"range4 [2.562 - 3.360]";"F";"unknown";"0";"Third";"Southampton";1115;1;1;13.775;"No"
"range33 [25.713 - 26.512]";"F";"unknown";"0";"Third";"Southampton";1116;0;2;13.775;"No"
"range35 [27.310 - 28.108]";"F";"unknown";"0";"Third";"Southampton";1129;0;0;7.8958;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Southampton";1133;0;0;7.775;"No"
"range49 [38.487 - 39.285]";"F";"unknown";"0";"Third";"Queenstown";1149;0;5;29.125;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Third";"Southampton";1150;0;0;39.6875;"No"
"range59 [46.470 - 47.268]";"F";"unknown";"0";"Third";"Southampton";1156;1;0;14.5;"No"
"range3 [1.763 - 2.562]";"F";"unknown";"0";"Third";"Southampton";1159;1;1;20.2125;"No"
"range52 [40.882 - 41.680]";"F";"unknown";"0";"Third";"Southampton";1161;0;2;20.2125;"No"
"range12 [8.948 - 9.747]";"F";"unknown";"0";"Third";"Southampton";1211;3;2;27.9;"No"
"range3 [1.763 - 2.562]";"F";"unknown";"0";"Third";"Southampton";1212;3;2;27.9;"No"
"range57 [44.873 - 45.672]";"F";"unknown";"0";"Third";"Southampton";1214;1;4;27.9;"No"
"range28 [21.722 - 22.520]";"F";"unknown";"0";"Third";"Southampton";1230;0;0;9.8375;"No"
"range3 [1.763 - 2.562]";"F";"G6";"0";"Third";"Southampton";1233;0;1;10.4625;"No"
"range37 [28.907 - 29.705]";"F";"G6";"0";"Third";"Southampton";1234;1;1;10.4625;"No"
"range13 [9.747 - 10.545]";"F";"unknown";"0";"Third";"Southampton";1268;0;2;24.15;"No"
"range38 [29.705 - 30.503]";"F";"unknown";"0";"Third";"Southampton";1270;1;1;24.15;"No"
"range23 [17.730 - 18.528]";"F";"unknown";"0";"Third";"Southampton";1276;2;0;18.0;"No"
"range39 [30.503 - 31.302]";"F";"unknown";"0";"Third";"Southampton";1279;1;0;18.0;"No"
"range18 [13.738 - 14.537]";"F";"unknown";"0";"Third";"Southampton";1282;0;0;7.8542;"No"
"range18 [13.738 - 14.537]";"F";"unknown";"0";"Third";"Cherbourg";1307;1;0;14.4542;"No"
"range38 [29.705 - 30.503]";"M";"C22 C26";"0";"First";"Southampton";5;1;2;151.55;"No"
"range49 [38.487 - 39.285]";"M";"A36";"0";"First";"Southampton";9;0;0;0.0;"No"
"range89 [70.420 - 71.218]";"M";"unknown";"0";"First";"Cherbourg";11;0;0;49.5042;"No"
"range59 [46.470 - 47.268]";"M";"C62 C64";"0";"First";"Cherbourg";12;1;0;227.525;"No"
"range30 [23.318 - 24.117]";"M";"B58 B60";"0";"First";"Cherbourg";18;0;1;247.5208;"No"
"range45 [35.293 - 36.092]";"M";"C6";"0";"First";"Cherbourg";21;0;0;75.2417;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"First";"Cherbourg";27;0;0;26.0;"No"
"range57 [44.873 - 45.672]";"M";"T";"0";"First";"Southampton";32;0;0;35.5;"No"
"range53 [41.680 - 42.478]";"M";"D22";"0";"First";"Southampton";36;0;0;26.55;"No"
"range52 [40.882 - 41.680]";"M";"A21";"0";"First";"Southampton";40;0;0;30.5;"No"
"range60 [47.268 - 48.067]";"M";"B10";"0";"First";"Cherbourg";41;0;0;50.4958;"No"
"range57 [44.873 - 45.672]";"M";"B38";"0";"First";"Southampton";47;0;0;26.55;"No"
"range42 [32.898 - 33.697]";"M";"B51 B53 B55";"0";"First";"Southampton";53;0;0;5.0;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"First";"Southampton";54;0;0;47.1;"No"
"range22 [16.932 - 17.730]";"M";"unknown";"0";"First";"Southampton";55;0;0;47.1;"No"
"range62 [48.865 - 49.663]";"M";"unknown";"0";"First";"Southampton";60;0;0;26.0;"No"
"range45 [35.293 - 36.092]";"M";"C46";"0";"First";"Southampton";62;1;0;78.85;"No"
"range58 [45.672 - 46.470]";"M";"E31";"0";"First";"Southampton";64;1;0;61.175;"No"
"range34 [26.512 - 27.310]";"M";"C89";"0";"First";"Cherbourg";73;1;0;136.7792;"No"
"range59 [46.470 - 47.268]";"M";"E58";"0";"First";"Southampton";77;0;0;25.5875;"No"
"range47 [36.890 - 37.688]";"M";"E52";"0";"First";"Cherbourg";79;1;1;83.1583;"No"
"range88 [69.622 - 70.420]";"M";"B22";"0";"First";"Southampton";83;1;1;71.0;"No"
"range49 [38.487 - 39.285]";"M";"C85";"0";"First";"Cherbourg";86;1;0;71.2833;"No"
"range39 [30.503 - 31.302]";"M";"B71";"0";"First";"Southampton";91;1;0;52.0;"No"
"range63 [49.663 - 50.462]";"M";"C86";"0";"First";"Cherbourg";98;1;0;106.425;"No"
"range49 [38.487 - 39.285]";"M";"A18";"0";"First";"Cherbourg";103;0;0;29.7;"No"
"range38 [29.705 - 30.503]";"M";"C111";"0";"First";"Cherbourg";112;0;0;27.75;"No"
"range24 [18.528 - 19.327]";"M";"C23 C25 C27";"0";"First";"Southampton";116;3;2;263.0;"No"
"range80 [63.235 - 64.033]";"M";"C23 C25 C27";"0";"First";"Southampton";117;1;4;263.0;"No"
"range47 [36.890 - 37.688]";"M";"C123";"0";"First";"Southampton";128;1;0;53.1;"No"
"range59 [46.470 - 47.268]";"M";"E63";"0";"First";"Southampton";130;0;0;38.5;"No"
"range30 [23.318 - 24.117]";"M";"B86";"0";"First";"Cherbourg";134;0;0;79.2;"No"
"range89 [70.420 - 71.218]";"M";"A5";"0";"First";"Cherbourg";137;0;0;34.6542;"No"
"range48 [37.688 - 38.487]";"M";"C91";"0";"First";"Southampton";140;0;1;153.4625;"No"
"range58 [45.672 - 46.470]";"M";"B82 B84";"0";"First";"Cherbourg";144;0;0;79.2;"No"
"range57 [44.873 - 45.672]";"M";"C83";"0";"First";"Southampton";150;1;0;83.475;"No"
"range50 [39.285 - 40.083]";"M";"B94";"0";"First";"Southampton";152;0;0;0.0;"No"
"range69 [54.453 - 55.252]";"M";"B69";"0";"First";"Southampton";156;1;1;93.5;"No"
"range53 [41.680 - 42.478]";"M";"B11";"0";"First";"Southampton";158;0;0;42.5;"No"
"range69 [54.453 - 55.252]";"M";"C39";"0";"First";"Southampton";160;0;0;50.0;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"First";"Southampton";164;1;0;52.0;"No"
"range58 [45.672 - 46.470]";"M";"unknown";"0";"First";"Southampton";173;0;0;26.0;"No"
"range63 [49.663 - 50.462]";"M";"E60";"0";"First";"Southampton";174;0;0;26.0;"No"
"range41 [32.100 - 32.898]";"M";"C132";"0";"First";"Cherbourg";175;0;0;211.5;"No"
"range73 [57.647 - 58.445]";"M";"B37";"0";"First";"Cherbourg";176;0;0;29.7;"No"
"range52 [40.882 - 41.680]";"M";"D21";"0";"First";"Southampton";177;1;0;51.8625;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"First";"Southampton";187;0;0;26.55;"No"
"range37 [28.907 - 29.705]";"M";"D6";"0";"First";"Southampton";191;0;0;30.0;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"First";"Southampton";193;0;0;45.5;"No"
"range38 [29.705 - 30.503]";"M";"C106";"0";"First";"Southampton";196;0;0;26.0;"No"
"range24 [18.528 - 19.327]";"M";"D30";"0";"First";"Southampton";199;1;0;53.1;"No"
"range58 [45.672 - 46.470]";"M";"C6";"0";"First";"Cherbourg";202;0;0;75.2417;"No"
"range68 [53.655 - 54.453]";"M";"E46";"0";"First";"Southampton";203;0;0;51.8625;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"First";"Cherbourg";205;1;0;82.1708;"No"
"range82 [64.832 - 65.630]";"M";"E38";"0";"First";"Southampton";207;0;0;26.55;"No"
"range55 [43.277 - 44.075]";"M";"C78";"0";"First";"Queenstown";208;2;0;90.0;"No"
"range69 [54.453 - 55.252]";"M";"C30";"0";"First";"Southampton";212;0;0;30.5;"No"
"range59 [46.470 - 47.268]";"M";"unknown";"0";"First";"Southampton";213;0;0;42.4;"No"
"range47 [36.890 - 37.688]";"M";"C118";"0";"First";"Cherbourg";214;0;1;29.7;"No"
"range73 [57.647 - 58.445]";"M";"D48";"0";"First";"Cherbourg";217;0;2;113.275;"No"
"range80 [63.235 - 64.033]";"M";"unknown";"0";"First";"Southampton";219;0;0;26.0;"No"
"range82 [64.832 - 65.630]";"M";"B30";"0";"First";"Cherbourg";223;0;1;61.9792;"No"
"range36 [28.108 - 28.907]";"M";"D43";"0";"First";"Cherbourg";224;0;0;27.7208;"No"
"range57 [44.873 - 45.672]";"M";"C124";"0";"First";"Southampton";226;0;0;28.5;"No"
"range29 [22.520 - 23.318]";"M";"B24";"0";"First";"Southampton";227;0;0;93.5;"No"
"range37 [28.907 - 29.705]";"M";"C2";"0";"First";"Southampton";228;1;0;66.6;"No"
"range23 [17.730 - 18.528]";"M";"C65";"0";"First";"Cherbourg";230;1;0;108.9;"No"
"range59 [46.470 - 47.268]";"M";"C110";"0";"First";"Southampton";234;0;0;52.0;"No"
"range48 [37.688 - 38.487]";"M";"unknown";"0";"First";"Southampton";236;0;0;0.0;"No"
"range28 [21.722 - 22.520]";"M";"unknown";"0";"First";"Cherbourg";238;0;0;135.6333;"No"
"range39 [30.503 - 31.302]";"M";"A24";"0";"First";"Southampton";241;0;0;50.4958;"No"
"range58 [45.672 - 46.470]";"M";"unknown";"0";"First";"Cherbourg";245;0;0;79.2;"No"
"range45 [35.293 - 36.092]";"M";"A10";"0";"First";"Cherbourg";246;0;0;40.125;"No"
"range69 [54.453 - 55.252]";"M";"unknown";"0";"First";"Cherbourg";248;1;0;59.4;"No"
"range42 [32.898 - 33.697]";"M";"unknown";"0";"First";"Southampton";250;0;0;26.55;"No"
"range77 [60.840 - 61.638]";"M";"B57 B59 B63 B66";"0";"First";"Cherbourg";254;1;3;262.375;"No"
"range63 [49.663 - 50.462]";"M";"E44";"0";"First";"Southampton";264;1;0;55.9;"No"
"range70 [55.252 - 56.050]";"M";"unknown";"0";"First";"Southampton";268;0;0;26.55;"No"
"range70 [55.252 - 56.050]";"M";"A7";"0";"First";"Cherbourg";269;0;0;30.6958;"No"
"range30 [23.318 - 24.117]";"M";"C31";"0";"First";"Southampton";270;1;0;60.0;"No"
"range72 [56.848 - 57.647]";"M";"B78";"0";"First";"Cherbourg";278;1;0;146.5208;"No"
"range78 [61.638 - 62.437]";"M";"C87";"0";"First";"Southampton";281;0;0;26.55;"No"
"range84 [66.428 - 67.227]";"M";"C55 C57";"0";"First";"Southampton";287;1;0;221.7792;"No"
"range77 [60.840 - 61.638]";"M";"D50";"0";"First";"Southampton";289;0;0;32.3208;"No"
"range65 [51.260 - 52.058]";"M";"E67";"0";"First";"Southampton";292;1;1;79.65;"No"
"range62 [48.865 - 49.663]";"M";"C68";"0";"First";"Cherbourg";296;1;1;110.8833;"No"
"range50 [39.285 - 40.083]";"M";"unknown";"0";"First";"Cherbourg";301;0;0;27.7208;"No"
"range77 [60.840 - 61.638]";"M";"B19";"0";"First";"Southampton";302;0;0;33.5;"No"
"range59 [46.470 - 47.268]";"M";"D46";"0";"First";"Southampton";303;0;0;34.0208;"No"
"range80 [63.235 - 64.033]";"M";"D37";"0";"First";"Cherbourg";305;1;0;75.25;"No"
"range75 [59.243 - 60.042]";"M";"unknown";"0";"First";"Southampton";307;0;0;26.55;"No"
"range68 [53.655 - 54.453]";"M";"D26";"0";"First";"Southampton";308;0;1;77.2875;"No"
"range27 [20.923 - 21.722]";"M";"D26";"0";"First";"Southampton";309;0;1;77.2875;"No"
"range72 [56.848 - 57.647]";"M";"unknown";"0";"First";"Southampton";312;1;1;164.8667;"No"
"range63 [49.663 - 50.462]";"M";"C80";"0";"First";"Cherbourg";314;1;1;211.5;"No"
"range34 [26.512 - 27.310]";"M";"C82";"0";"First";"Cherbourg";315;0;2;211.5;"No"
"range64 [50.462 - 51.260]";"M";"unknown";"0";"First";"Cherbourg";318;0;1;61.3792;"No"
"range78 [61.638 - 62.437]";"M";"unknown";"0";"First";"Southampton";323;0;0;26.55;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Cherbourg";325;1;0;24.0;"No"
"range38 [29.705 - 30.503]";"M";"unknown";"0";"Second";"Southampton";327;0;0;13.0;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Second";"Southampton";328;0;0;11.5;"No"
"range32 [24.915 - 25.713]";"M";"unknown";"0";"Second";"Southampton";329;0;0;10.5;"No"
"range43 [33.697 - 34.495]";"M";"unknown";"0";"Second";"Southampton";330;1;0;26.0;"No"
"range72 [56.848 - 57.647]";"M";"unknown";"0";"Second";"Southampton";332;0;0;13.0;"No"
"range23 [17.730 - 18.528]";"M";"unknown";"0";"Second";"Southampton";333;0;0;11.5;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Southampton";334;0;0;10.5;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Second";"Southampton";336;0;0;10.5;"No"
"range64 [50.462 - 51.260]";"M";"unknown";"0";"Second";"Southampton";337;0;0;12.525;"No"
"range35 [27.310 - 28.108]";"M";"unknown";"0";"Second";"Southampton";340;0;0;26.0;"No"
"range29 [22.520 - 23.318]";"M";"unknown";"0";"Second";"Southampton";347;0;0;13.0;"No"
"range33 [25.713 - 26.512]";"M";"unknown";"0";"Second";"Southampton";348;0;0;13.0;"No"
"range53 [41.680 - 42.478]";"M";"unknown";"0";"Second";"Southampton";349;0;0;13.0;"No"
"range34 [26.512 - 27.310]";"M";"unknown";"0";"Second";"Southampton";350;0;0;13.0;"No"
"range75 [59.243 - 60.042]";"M";"unknown";"0";"Second";"Southampton";353;1;1;39.0;"No"
